"team","avg_gw_points","avg_score_per_player","clean_sheets","consistency","team_category","total_players","avg_minutes","avg_decisive_actions","avg_sofascore_xg","avg_sofascore_possession","avg_sofascore_total_shots","avg_sofascore_shots_on_target","avg_sofascore_corner_kicks","season"
"Beşiktaş Jimnastik Kulübü","466.4383","23.6171","","66.3665","low","33","2.7342","","1.6915","53.7667","15.4","5.6333","5.0667","all"
"Celtic FC","706.0247","25.3216","","85.5361","elite","41","3.2278","","1.2173","65.4824","15.3529","5.6941","7.2353","all"
"FC Porto","589.2625","26.0317","","74.2804","strong","38","10.2675","","1.661","56.2386","14.1136","5.0909","5.3977","all"
"FC Red Bull Salzburg","537.8805","22.0068","","74.3916","average","32","3.3953","","0.9679","51.1948","14.1818","4.8052","4.6494","all"
"Fenerbahçe Spor Kulübü","507.1988","26.9618","","68.0685","average","35","3.2083","","1.8679","56.4471","16.1765","6.0824","6.3059","all"
"Galatasaray Spor Kulübü","655.2854","27.4837","","79.9799","elite","37","2.2159","","2.0447","57.5169","16.8315","6.1685","5.6629","all"
"Rangers FC","552.7739","28.6648","","73.5718","average","33","4.6671","","1.0224","55.9886","16.1136","5.7727","5.9545","all"
"SL Benfica","601.9436","23.7742","","75.864","strong","41","3.6867","","2.0153","54","15.9149","6.0106","6.3617","all"
"Sporting Braga","642.729","23.598","","79.5991","strong","43","2.8069","","1.4517","54.1828","11.6667","4.5054","5.0323","all"
"Sporting Clube de Portugal","674.3488","23.7388","","81.819","elite","40","4.7892","","1.8924","58.3256","16.3605","6.2558","6.093","all"
"Trabzonspor Kulübü","468.3643","23.2192","","67.1937","low","33","2.0397","","1.495","54.7714","14.2","4.7857","4.7857","all"
"Vitória Guimarães SC","467.5784","24.2983","","68.4408","low","34","2.9073","","1.3293","53.8514","13.7973","4.4324","5.5676","all"
