_match_key,event_id,match_confidence,home_team,away_team,is_home,status,goals_prevented,goals_prevented_value,crosses,crosses_value,dribbles,dribbles_value,offsides,offsides_value,shots_off_target,shots_off_target_value,shots_on_target,shots_on_target_value,counter_attacks,counter_attacks_value,corner_kicks,corner_kicks_value,possession_lost,possession_lost_value,big_chances,big_chances_value,clearances,clearances_value,tackles,tackles_value,expected_goals,expected_goals_value,long_balls,long_balls_value,free_kicks,free_kicks_value,ball_possession,ball_possession_value,interceptions,interceptions_value,big_chances_missed,big_chances_missed_value,blocked_shots,blocked_shots_value,passes,passes_value,goalkeeper_saves,goalkeeper_saves_value,red_cards,red_cards_value,total_shots,total_shots_value,duels_won,duels_won_value,fouls,fouls_value,accurate_passes,accurate_passes_value,yellow_cards,yellow_cards_value,shots_outside_box,shots_outside_box_value,goal_kicks,goal_kicks_value,shots_inside_box,shots_inside_box_value,throw_ins,throw_ins_value,counter_attack_shots,counter_attack_shots_value,aerials_won,aerials_won_value,error,lookup_error
game:4648067|team:besiktas jimnastik kulubu,14109920,2.42,Ã‡aykur Rizespor,BeÅŸiktaÅŸ JK,False,finished,-0.21,-0.2123,2/12 (17%),2.0,9/11 (82%),9.0,0,0.0,7,7.0,9,9.0,,,3,3.0,,,2,2.0,19,19.0,17,17.0,2.00,2.0,27/43 (63%),27.0,7,7.0,53%,53.0,16,16.0,1,1.0,7,7.0,469,469.0,3,3.0,,,23,23.0,,,11,11.0,399,399.0,3,3.0,8,8.0,11,11.0,15,15.0,19,19.0,,,,,,
game:4648937|team:futebol clube do porto,14336196,2.42,FC Porto,Santa Clara,True,finished,0.00,0.0,7/17 (41%),7.0,7/22 (32%),7.0,2,2.0,3,3.0,6,6.0,,,8,8.0,,,1,1.0,17,17.0,16,16.0,0.91,0.91,18/37 (49%),18.0,9,9.0,53%,53.0,11,11.0,1,1.0,5,5.0,395,395.0,0,0.0,,,14,14.0,,,11,11.0,322,322.0,,,7,7.0,8,8.0,7,7.0,14,14.0,,,,,,
game:4839880|team:fussballclub red bull salzburg,15690648,2.385,Red Bull Salzburg,TSV Hartberg,True,finished,-0.35,-0.3454,8/43 (19%),8.0,5/15 (33%),5.0,,,12,12.0,7,7.0,,,13,13.0,,,2,2.0,9,9.0,16,16.0,1.84,1.84,29/38 (76%),29.0,7,7.0,66%,66.0,9,9.0,2,2.0,3,3.0,501,501.0,3,3.0,,,22,22.0,,,11,11.0,444,444.0,1,1.0,11,11.0,2,2.0,11,11.0,27,27.0,,,,,,
game:4648065|team:fenerbahce spor kulubu,14109918,2.39,FenerbahÃ§e,EyÃ¼pspor,True,finished,-1.73,-1.7278,5/29 (17%),5.0,7/16 (44%),7.0,0,0.0,8,8.0,7,7.0,,,6,6.0,,,3,3.0,7,7.0,16,16.0,1.33,1.33,28/46 (61%),28.0,14,14.0,78%,78.0,8,8.0,1,1.0,4,4.0,718,718.0,0,0.0,,,19,19.0,,,9,9.0,632,632.0,5,5.0,7,7.0,2,2.0,12,12.0,26,26.0,,,,,,
game:4648071|team:galatasaray spor kulubu,14109924,2.39,KasÄ±mpaÅŸa,Galatasaray,False,finished,0.04,0.0388,5/22 (23%),5.0,4/11 (36%),4.0,1,1.0,6,6.0,5,5.0,,,7,7.0,,,0,0.0,8,8.0,6,6.0,0.52,0.52,29/44 (66%),29.0,9,9.0,71%,71.0,5,5.0,0,0.0,1,1.0,667,667.0,2,2.0,,,12,12.0,,,6,6.0,609,609.0,1,1.0,5,5.0,5,5.0,7,7.0,18,18.0,,,,,,
game:4648938|team:sport lisboa e benfica,14336198,2.39,Estoril Praia,Benfica,False,finished,-0.12,-0.1156,6/20 (30%),6.0,8/16 (50%),8.0,2,2.0,7,7.0,8,8.0,,,9,9.0,,,6,6.0,9,9.0,16,16.0,4.15,4.15,15/34 (44%),15.0,9,9.0,52%,52.0,7,7.0,4,4.0,4,4.0,464,464.0,5,5.0,,,19,19.0,,,12,12.0,393,393.0,2,2.0,4,4.0,9,9.0,15,15.0,17,17.0,,,,,,
game:4648942|team:sporting clube de braga,14336204,2.5,Sporting Braga,CF Estrela Amadora,True,finished,-0.23,-0.2314,1/15 (7%),1.0,3/11 (27%),3.0,1,1.0,6,6.0,4,4.0,,,7,7.0,,,3,3.0,9,9.0,14,14.0,2.38,2.38,8/14 (57%),8.0,8,8.0,74%,74.0,6,6.0,1,1.0,4,4.0,691,691.0,2,2.0,0,0.0,14,14.0,,,13,13.0,628,628.0,1,1.0,7,7.0,4,4.0,7,7.0,26,26.0,,,,,,
game:4648936|team:sporting clube de portugal,14288901,2.47,Sporting CP,Gil Vicente,True,finished,0.09,0.0887,4/15 (27%),4.0,9/21 (43%),9.0,1,1.0,5,5.0,5,5.0,,,6,6.0,,,1,1.0,13,13.0,18,18.0,1.61,1.61,20/34 (59%),20.0,14,14.0,62%,62.0,7,7.0,1,1.0,5,5.0,579,579.0,1,1.0,,,15,15.0,,,13,13.0,525,525.0,0,0.0,4,4.0,8,8.0,11,11.0,8,8.0,,,,,,
game:4648072|team:trabzonspor kulubu,14109925,2.39,Trabzonspor,GenÃ§lerbirliÄŸi,True,finished,-0.87,-0.8701,9/23 (39%),9.0,8/18 (44%),8.0,5,5.0,4,4.0,4,4.0,,,5,5.0,,,0,0.0,16,16.0,17,17.0,0.52,0.52,29/40 (73%),29.0,14,14.0,63%,63.0,6,6.0,0,0.0,3,3.0,537,537.0,3,3.0,,,11,11.0,,,13,13.0,479,479.0,1,1.0,2,2.0,7,7.0,9,9.0,19,19.0,,,,,,
game:4648939|team:vitoria sport clube,14336199,2.335,CD Nacional,VitÃ³ria SC,False,finished,-0.16,-0.1621,6/22 (27%),6.0,6/12 (50%),6.0,2,2.0,5,5.0,4,4.0,,,6,6.0,,,1,1.0,27,27.0,11,11.0,1.33,1.33,8/32 (25%),8.0,16,16.0,66%,66.0,7,7.0,1,1.0,4,4.0,409,409.0,1,1.0,,,13,13.0,,,13,13.0,338,338.0,3,3.0,5,5.0,5,5.0,8,8.0,15,15.0,,,,,,
